route_id,direction_id,stop_id,stop_sequence
L12,0,U595Z2P,25
L12,0,U81Z2P,26
L12,0,U1122Z1P,27
L12,0,U521Z1P,28
L12,0,U115Z3P,29
L12,0,U532Z1P,30
L12,0,U532Z4P,31
L13,1,U837Z3P,1
L13,1,U512Z1P,2
L13,1,U34Z1P,3
L13,1,U469Z1P,4
L13,1,U373Z1P,5
L13,1,U921Z3P,6
L13,1,U515Z1P,7
L13,1,U118Z1P,8
L13,1,U616Z1P,9
L13,1,U209Z1P,10
L13,1,U850Z1P,11
L13,1,U191Z1P,12
L13,1,U400Z1P,13
L13,1,U190Z4P,14
L13,1,U476Z2P,15
L13,1,U354Z2P,16
L13,1,U301Z2P,17
L13,1,U627Z2P,18
L13,1,U391Z2P,19
L13,1,U67Z2P,20
L13,0,U67Z4P,1
L13,0,U391Z1P,2
L13,0,U627Z1P,3
L13,0,U301Z1P,4
L13,0,U354Z1P,5
L13,0,U476Z1P,6
L13,0,U190Z3P,7
L13,0,U400Z2P,8
L13,0,U191Z2P,9
L13,0,U850Z2P,10
L13,0,U209Z2P,11
L13,0,U616Z2P,12
L13,0,U118Z2P,13
L13,0,U515Z2P,14
L13,0,U921Z4P,15
L13,0,U921Z12P,16
L13,0,U469Z2P,17
L13,0,U34Z2P,18
L13,0,U512Z2P,19
L13,0,U837Z2P,20
L14,1,U72Z3P,1
L14,1,U652Z1P,2
L14,1,U135Z1P,3
L14,1,U144Z1P,4
L14,1,U1053Z1P,5
L14,1,U499Z1P,6
L14,1,U75Z1P,7
L14,1,U873Z1P,8
L14,1,U1052Z1P,9
L14,1,U474Z3P,10
L14,1,U464Z1P,11
L14,1,U308Z1P,12
L14,1,U12Z1P,13
L14,1,U529Z5P,14
L14,1,U529Z3P,15
L14,1,U331Z1P,16
L14,1,U365Z1P,17
L14,1,U81Z3P,18
L14,1,U595Z1P,19
L14,1,U100Z1P,20
L14,1,U100Z3P,21
L14,1,U983Z1P,22
L14,1,U952Z1P,23
L14,1,U32Z1P,24
L14,1,U480Z3P,25
L14,1,U203Z1P,26
L14,1,U1072Z1P,27
L14,1,U484Z1P,28
L14,1,U997Z1P,29
L14,1,U237Z2P,30
L14,1,U237Z4P,31
L14,1,U42Z2P,32
L14,1,U876Z2P,33
L14,1,U522Z2P,34
L14,1,U724Z2P,35
L14,1,U83Z2P,36
L14,1,U482Z2P,37
L14,1,U152Z2P,38
L14,1,U559Z2P,39
L14,1,U376Z2P,40
L14,1,U550Z2P,41
L14,1,U183Z2P,42
L14,1,U751Z2P,43
L14,1,U697Z2P,44
L14,0,U697Z1P,1
L14,0,U751Z1P,2
L14,0,U183Z1P,3
L14,0,U550Z1P,4
L14,0,U376Z1P,5
L14,0,U559Z1P,6
